from_task,to_task
AxQM.Concrete.PauliGroup.negOne_notMem_closure_iff_forall_sq_eq_one_and_ne_negOne,AxQM.Concrete.PauliGroup.sq_eq_one_and_ne_negOne_of_negOne_notMem_closure
AxQM.Concrete.PauliGroup.sq_eq_one_and_ne_negOne_of_negOne_notMem_closure,AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem
AxQM.Concrete.PauliGroup.toMat_isHermitian_of_negOne_notMem,AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem
AxQM.Concrete.StabilizerTableau.run_stabilizes,AxQM.Concrete.hadamardC_mul_pauliX_mul_hadamardC
AxQM.Concrete.StabilizerTableau.run_stabilizes,AxQM.Concrete.hadamardC_mul_pauliY_mul_hadamardC
AxQM.Concrete.StabilizerTableau.run_stabilizes,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.Concrete.StabilizerTableau.run_stabilizes,AxQM.Concrete.sMatrix_conj_pauliX
AxQM.Concrete.StabilizerTableau.run_stabilizes,AxQM.Concrete.sMatrix_conj_pauliZ
AxQM.Concrete.boltzmannExcited_boltzmannTemperature,AxQM.Concrete.boltzmannGround_boltzmannTemperature
AxQM.Concrete.classicalTraceDist_isGreatest_sub_of_sum_eq_one,AxQM.Concrete.classicalTraceDist_isGreatest_sub
AxQM.Concrete.cnotMatrix_conj_pauliX1,AxQM.Concrete.flattenFin4_pauliI_kronecker_pauliX
AxQM.Concrete.cnotMatrix_conj_pauliX1,AxQM.Concrete.flattenFin4_pauliX_kronecker_pauliI
AxQM.Concrete.cnotMatrix_conj_pauliX2,AxQM.Concrete.flattenFin4_pauliI_kronecker_pauliX
AxQM.Concrete.codeProjector_isCorrectableErrorSet,AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem
AxQM.Concrete.concat_stabilizedSubspace_finrank,AxQM.Concrete.pauliString_commute_iff_symplecticForm
AxQM.Concrete.concat_stabilizedSubspace_finrank,AxQM.Concrete.stabilizedSubspace_finrank
AxQM.Concrete.cssStabilizer_isCorrectableErrorSet_of_correctsErrors,AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem
AxQM.Concrete.cssStabilizer_isCorrectableErrorSet_of_correctsErrors,AxQM.Concrete.normalizer_eq_centralizer_of_negOne_notMem
AxQM.Concrete.cssStabilizer_isCorrectableErrorSet_of_correctsErrors,AxQM.Concrete.pauliString_commute_iff_symplecticForm
AxQM.Concrete.entropy_lt_entropy_fairCoin_of_ne_uniform,Real.entropy_eq_log_card_iff
AxQM.Concrete.entropy_lt_entropy_fairDie_of_ne_uniform,Real.entropy_eq_log_card_iff
AxQM.Concrete.exists_abc_decomposition,AxQM.Concrete.exists_zy_decomposition
