declaration,items,difficulty
AxQM.Concrete.ThreeSpin.jsq_mixAM12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jsq_mixAP12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jsq_mixBM12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jsq_mixBP12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jsq_symM12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jsq_symM32,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jsq_symP12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jsq_symP32,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jz_mixAM12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jz_mixAP12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jz_mixBM12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jz_mixBP12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jz_symM12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jz_symM32,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jz_symP12,Exercise7_27,very-small
AxQM.Concrete.ThreeSpin.jz_symP32,Exercise7_27,very-small
AxQM.Concrete.barencoGateBudget_isBigO_sq,Exercise4_29 Exercise4_30,very-small
AxQM.Concrete.classicalTraceDist_binary,Exercise9_2,very-small
AxQM.Concrete.classicalTraceDist_deterministic_uniform,Exercise9_1,very-small
AxQM.Concrete.classicalTraceDist_ternary_example,Exercise9_1,very-small
AxQM.Concrete.dampedRho_zero,Problem8_1,very-small
AxQM.Concrete.depolChannel_apply_one,Exercise8_29,very-small
AxQM.Concrete.dualRailVec_inner_ketZeroZero,Exercise8_23,very-small
AxQM.Concrete.exists_ne_unitary_conj_twoQubitGenerators_eq,Exercise10_38,very-small
AxQM.Concrete.exists_specialOrthogonalGroup_symmetric_factor_det_neg,Exercise8_14,very-small
AxQM.Concrete.fiveQubitStdGen_xPart_pivot_identity,Exercise10_57,very-small
AxQM.Concrete.flattenFin4_pauliI_kronecker_pauliX,Exercise2_27,very-small
AxQM.Concrete.flattenFin4_pauliX_kronecker_pauliI,Exercise2_27,very-small
AxQM.Concrete.flattenFin4_pauliX_kronecker_pauliZ,Exercise2_27,very-small
AxQM.Concrete.four_pow_half_order_ne_neg_one_zmod_ninetyOne,Exercise5_18,very-small
AxQM.Concrete.four_pow_half_order_zmod_ninetyOne,Exercise5_18,very-small
AxQM.Concrete.gcd_four_pow_half_order_pred_ninetyOne,Exercise5_18,very-small
AxQM.Concrete.groverPhaseShift_eq_two_ketBraZero_sub_one,Exercise6_1,very-small
AxQM.Concrete.hyperfineFx_eq,Exercise7_28,very-small
AxQM.Concrete.hyperfineFy_eq,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_eq,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_mulVec_coupledF1n1,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_mulVec_coupledF1p1,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_mulVec_coupledF1z,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_mulVec_coupledF2n1,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_mulVec_coupledF2n2,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_mulVec_coupledF2p1,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_mulVec_coupledF2p2,Exercise7_28,very-small
AxQM.Concrete.hyperfineFz_mulVec_coupledF2z,Exercise7_28,very-small
AxQM.Concrete.inner_vecOneOneC2_vecOneNegOneC2_eq_zero,Exercise2_7,very-small
AxQM.Concrete.matFourThreeLog_isHermitian,Exercise2_34,very-small
AxQM.Concrete.matFourThreeSqrt_mul_self,Exercise2_34,very-small
AxQM.Concrete.ninetyOne_not_isPerfectPower,Exercise5_18,very-small
AxQM.Concrete.ninetyOne_odd,Exercise5_18,very-small
AxQM.Concrete.nmrQuartet_lineCount,Exercise7_37,very-small
AxQM.Concrete.nmrQuartet_relativeMagnitudes,Exercise7_37,very-small
AxQM.Concrete.nmrTomographyExperiments_three,Exercise7_46,very-small
AxQM.Concrete.orderOf_five_zmod_twentyOne,Exercise5_10,very-small
AxQM.Concrete.orderOf_four_zmod_ninetyOne,Exercise5_18,very-small
AxQM.Concrete.pauliI_kronecker_pauliX_ne_pauliX_kronecker_pauliI,Exercise2_27,very-small
AxQM.Concrete.pauliSigma_lie,Exercise2_40,very-small
AxQM.Concrete.pauliSigma_mul,Exercise2_43,very-small
AxQM.Concrete.pauliX_lie_pauliY,Exercise2_40,very-small
AxQM.Concrete.pauliX_mulVec_xMinus,Exercise2_11,very-small
AxQM.Concrete.pauliX_mulVec_xPlus,Exercise2_11,very-small
